source,job_id,title,company,city,location_full,country,zip,salary_min,salary_max,salary_period,salary_currency,employment_type,date_posted,valid_through,tags,category,description,requirements,what_we_offer,contact_name,contact_email,url,direct_apply,remote
randstad,37961,category management supervisor,Randstad Hungary,Biatorbágy,Pest,HU,,,,MONTH,HUF,FULL_TIME,2026-06-01,,logisztika-beszerzes,logisztika-beszerzes,"Cégleírás / Organisation/DepartmentOur market-leading partner in the development and production of polymer-based products, which offers innovative system solutions in many areas, is looking for a new colleague to join its team in Biatorbágy. If you are looking for the challenges of an internationally recognized company with a stable background, this is the place for you!  In this role, you will act as a vital partner to our partner’s demand carriers, focus",,,,,https://www.randstad.hu/allasok/category-management-supervisor_biatorbagy_37961/,True,
randstad,37746,talent acquisition operations Coordinator - Afternoon Shift,Randstad Hungary,Budapest,Budapest,HU,,800000,,MONTH,HUF,FULL_TIME,2026-05-29,,hr-munkaugy,hr-munkaugy,"Cégleírás / Organisation/DepartmentAlpha is bringing their impressive global success story to Hungary, building a brand-new Global Business Center in Budapest. They are looking for a Talent Acquisition Operations Coordinator to join their People function and become a foundational part of this journey. They offer a unique environment that prioritizes an inclusive culture and service excellence from day one. In this role, you will manage the operational back",,,,,https://www.randstad.hu/allasok/talent-acquisition-operations-coordinator-afternoon-shift_budapest_37746/,True,
randstad,37613,GBS Client Delivery Manager,Randstad Hungary,Budapest,Budapest,HU,,,,MONTH,HUF,FULL_TIME,2026-05-29,,ugyfelszolgalat,ugyfelszolgalat,"Cégleírás / Organisation/DepartmentOur partner is a multinational leader in the airline industry, committed to connecting people and places across the globe. With a strong foundation of excellence and innovation, the company is dynamically growing, embracing new opportunities, and setting benchmarks in aviation. Join them as GBS Client Delivery Manager and be part of a forward-thinking organization where your career can take flight!Are you ready to become",,,,,https://www.randstad.hu/allasok/gbs-client-delivery-manager_budapest_37613/,True,
randstad,37498,Minőségügyi mérnök (fröccsöntő),Randstad Hungary,Túrkeve,Jász-Nagykun-Szolnok,HU,,700000,,MONTH,HUF,FULL_TIME,2026-05-29,,gyartas-termeles,gyartas-termeles,"Cégleírás / Organisation/DepartmentPartnerünk multinacionális autóipari beszállítócég, mely autómárkák széles típusainak készíti el modern alkatrészeit. Pozíció leírása / Job descriptionBelső minőségügyi problémák kezelése a fröccsöntő üzem területén belülFröccsöntő terület minőségügyi kollégáinak felügyelete és támogatásaHibák analizálása, kiküszöbölése és megelőzéseAktív részvétel az auditokon és vevői látogatásokon (VDA 6.3, IATF)A munkakörrel kapcsolat",,,,,https://www.randstad.hu/allasok/minosegugyi-mernok-froccsonto_turkeve_37498/,True,
randstad,37701,Digital Solutions Manager,Randstad Hungary,Budapest,Budapest,HU,,,,MONTH,HUF,FULL_TIME,2026-05-29,,it-telekom,it-telekom,"Cégleírás / Organisation/DepartmentOur partner is bringing their impressive global success story to Hungary, building a brand-new Global Business Center in Budapest. They are looking for a Digital Solutions Manager to drive digital transformation and platform excellence.They offer a unique environment that prioritizes an inclusive culture and service excellence from day one. In this role, you will bridge the gap between business needs and technology within",,,,,https://www.randstad.hu/allasok/digital-solutions-manager_budapest_37701/,True,
randstad,38074,Regional Manager Raws & Packs Planning,Randstad Hungary,Budapest,Budapest,HU,,,,MONTH,HUF,FULL_TIME,2026-05-28,,logisztika-beszerzes,logisztika-beszerzes,"Cégleírás / Organisation/DepartmentOur partner, Henkel Hungary, is a leading player in the chemical and consumer goods industry, backed by nearly 150 years of global heritage and over 35 years of successful presence in the Hungarian market. They are the force behind world-renowned brands such as Persil, Schwarzkopf, and Loctite.Operating across two major business units, Consumer Brands and Adhesive Technologies. Henkel is dedicated to delivering market-lea",,,,,https://www.randstad.hu/allasok/regional-manager-raws-packs-planning_budapest_38074/,True,
randstad,38207,Irodai koordinátor,Randstad Hungary,Budaörs,Pest,HU,,300000,,MONTH,HUF,FULL_TIME,2026-05-28,,asszisztens-recepcio,asszisztens-recepcio,"Cégleírás / Organisation/DepartmentPartnerünk pezsgő és családias hangulatú irodájába keressük azt a figyelmes és proaktív irodai koordinátor kollégát, aki mosolyával és talpraesettségével az iroda szíve-lelke lesz! Ha szereted a rendet, szívesen segítesz másoknak, és egy kiszámítható részmunkaidős állást keresel, ez a lehetőség Neked szól. Partnerünk, egy globális energiahordozó nagyvállalat magyarországi leányvállalata, amely hazánkban elsősorban gépjárm",,,,,https://www.randstad.hu/allasok/irodai-koordinator_budaors_38207/,True,
randstad,38205,Termeléstervezési vezető  (EMEA régió),Randstad Hungary,Veszprém,Veszprém,HU,,,,MONTH,HUF,FULL_TIME,2026-05-28,,muszaki-mernoki-poziciok,muszaki-mernoki-poziciok,"Cégleírás / Organisation/DepartmentEllátási Lánc és Termékelérhetőségi Menedzsert keresünk veszprémi központú, stabil hátterű és dinamikusan növekedő gyártó partnerünk csapatába. Ha magabiztosan beszélsz angolul és szívesen vezetnél egy több, mint 10 fős csapatot ez a lehetőség Neked szól!Pozíció leírása / Job descriptionFeladataid lesznek: Az EMEA-régiós kereslettervezési (demand planning) és operatív beszerzési csapatok vezetése, motiválása és szakmai fe",,,,,https://www.randstad.hu/allasok/termelestervezesi-vezeto-emea-regio_veszprem_38205/,True,
randstad,38192,Szoftverbevezetési tanácsadó,Randstad Hungary,Budapest,Budapest,HU,,900000,,MONTH,HUF,FULL_TIME,2026-05-28,,it-telekom,it-telekom,"Cégleírás / Organisation/DepartmentÜgyfelünk a bér- és munkaügy, valamint a humánerőforrás-gazdálkodás szakértője. 20 éves szakmai tapasztalattal, több mint 300 munkatárssal, országos hálózattal rendelkezik, több mint 4000 vállalatot, és több mint egymillió hazai munkavállalót nevezhet meg referenciaként.Pozíció leírása / Job descriptionÜgyféligények felmérése, támogatásaEnd-userek oktatásaVállalati termék ügyfelek számára való minimális testreszabásaImple",,,,,https://www.randstad.hu/allasok/szoftverbevezetesi-tanacsado_budapest_38192/,True,
randstad,38203,ASSISTANT(E) ADMINISTRATIF(VE) & FINANCIER(E),Randstad Hungary,Budapest,Budapest,HU,,,,MONTH,HUF,FULL_TIME,2026-05-28,,penzugy-szamvitel,penzugy-szamvitel,"Cégleírás / Organisation/DepartmentLa CCI France Hongrie, acteur cle de la communaute d’affaires franco-hongroise, recherche un(e) collaborateur(trice) motive(e), organise(e) et dynamique  pour renforcer son equipe a Budapest.Pozíció leírása / Job descriptionGestion administrative et financiere établissement des factures clientsgestion et suivi des factures fournisseurssuivi des paiements clients et fournisseursrelance et gestion des impayesassistance admi",,,,,https://www.randstad.hu/allasok/assistante-administratifve-financiere_budapest_38203/,True,
randstad,38204,Szenior Taktikai Beszerző (angol és német nyelvtudással),Randstad Hungary,Veszprém,Veszprém,HU,,900000,,MONTH,HUF,FULL_TIME,2026-05-28,,muszaki-mernoki-poziciok,muszaki-mernoki-poziciok,"Cégleírás / Organisation/DepartmentSzenior Taktikai Beszerző munkatársat keresünk veszprémi központú, stabil hátterű és dinamikusan növekedő gyártó partnerünk csapatába. Ha magabiztosan beszélsz angolul és németül, és kész vagy szintet lépni a karrieredben ez a lehetőség Neked szól!Pozíció leírása / Job descriptionFeladataid lesznek: Árajánlatok bekérése és menedzselése.A beérkező ajánlatok elemzése a teljes élettartam-költség (TCO) alapján. Tesztminták, k",,,,,https://www.randstad.hu/allasok/szenior-taktikai-beszerzo-angol-es-nemet-nyelvtudassal_veszprem_38204/,True,
randstad,38202,Szenior Taktikai Beszerző,Randstad Hungary,Veszprém,Veszprém,HU,,900000,,MONTH,HUF,FULL_TIME,2026-05-28,,muszaki-mernoki-poziciok,muszaki-mernoki-poziciok,"Cégleírás / Organisation/DepartmentCsatlakozz veszprémi központú, stabil háttérrel rendelkező, folyamatosan fejlődő gyártó partnerünk csapatához! Szenior Taktikai Beszerzőként kulcsszereped lesz az új projektek bevezetésében és a prototípusgyártás támogatásában. Feladatod a beszállítói kapcsolatok magas szintű menedzselése és a hatékony együttműködés fenntartása lesz.Pozíció leírása / Job descriptionFeladataid lesznek: Beszerzési és beszállítói stratégiák",,,,,https://www.randstad.hu/allasok/szenior-taktikai-beszerzo_veszprem_38202/,True,
randstad,37232,Hegesztőmérnök vezető,Randstad Hungary,Mohács,Baranya,HU,,,,MONTH,HUF,FULL_TIME,2026-05-28,,gyartas-termeles,gyartas-termeles,"Cégleírás / Organisation/Department🌍 Partnerünk egy nemzetközi vállalat magyarországi leányvállalata, amely egyedi acélszerkezetek gyártására specializálódott. A céget stabilitás, megbízhatóság és magas szintű szakmai hozzáértés jellemzi. Most belföldi és külföldi (Németország) projektekre keresünk hegesztési szakembert, aki szereti a kihívásokat és szívesen dolgozik változatos, technikailag igényes feladatokon.A pozíció elsősorban helyszíni, terepi munka",,,,,https://www.randstad.hu/allasok/hegesztomernok-vezeto_mohacs_37232/,True,
randstad,36962,Minőségellenőr,Randstad Hungary,Ecser,Pest,HU,,700000,,MONTH,HUF,FULL_TIME,2026-05-28,,fizikai-munka,fizikai-munka,"Cégleírás / Organisation/DepartmentPartnerünk bővülő csapatába keresünk precíz és felelősségteljes minőségügyi ellenőr kollégát!Pozíció leírása / Job descriptionAlumíniumöntvények és félkész termékek minőségellenőrzése előírások alapjánMérések, vizsgálatok elvégzése különböző mérőeszközökkel (pl. tolómérő, mikrométer, mérőgépek)Gyártási folyamatok minőségügyi szempontú felügyeleteDokumentációk, jegyzőkönyvek pontos vezetéseEsetleges hibák feltárása, vissza",,,,,https://www.randstad.hu/allasok/minosegellenor_ecser_36962/,True,
randstad,38201,supply chain manager,Randstad Hungary,Budapest,Budapest,HU,,,,MONTH,HUF,FULL_TIME,2026-05-28,,logisztika-beszerzes,logisztika-beszerzes,"Cégleírás / Organisation/DepartmentOur partner is a manufcaturing firm with international background their plant is located in the eastern side of Pest county.Pozíció leírása / Job descriptionStrategic Leadership & Personnel DevelopmentTeam Optimization: Design and implement organizational structures, job rotation schedules, and robust backup plans to ensure operational continuity.Talent Cultivation: Create individual development plans to upskill team memb",,,,,https://www.randstad.hu/allasok/supply-chain-manager_budapest_38201/,True,
randstad,38200,Hardwarefejlesztő mérnök,Randstad Hungary,Veszprém,Veszprém,HU,,,,MONTH,HUF,FULL_TIME,2026-05-28,,gyartas-termeles,gyartas-termeles,"Cégleírás / Organisation/DepartmentPartnerünk az ipari automatizálás és szenzortechnika egyik meghatározó globális szereplője. Jelenleg Magyarországi központjukba keresik az új kollégájukat Hardwarefejlesztő mérnök pozícióra. Ha nemzetközi projektekben, csúcstechnológiát képviselő termékek fejlesztésében szeretnél részt venni, ahol a precizitás és az innováció kéz a kézben jár, náluk a helyed!Pozíció leírása / Job descriptionRészvétel az ipari automatizálá",,,,,https://www.randstad.hu/allasok/hardwarefejleszto-mernok_veszprem_38200/,True,
randstad,37931,Financial Controller,Randstad Hungary,Sirok,Heves,HU,,,,MONTH,HUF,FULL_TIME,2026-05-28,,penzugy-szamvitel,penzugy-szamvitel,"Cégleírás / Organisation/DepartmentOur partner is looking for their newest colleague for a Financial Controller position at their modern manufacturing plant in the heart of the Mátra, where they offer an innovative and sustainable work environment.Pozíció leírása / Job descriptionManaging, preparing monthly and quarterly closing, ensuring accuracy and compliance with internal financial standardsPreparing pre- and post-calculations to support decision-makin",,,,,https://www.randstad.hu/allasok/financial-controller_sirok_37931/,True,
randstad,37943,Területi Képviselő (Hunter Sales) - Pest megye,Randstad Hungary,Budapest,Budapest,HU,,700000,,MONTH,HUF,FULL_TIME,2026-05-27,,ertekesites-kereskedelem,ertekesites-kereskedelem,"Cégleírás / Organisation/DepartmentPartnerünk egy nemzetközileg elismert, skandináv gyökerekkel rendelkező piaci szereplő, amelynek magyarországi divíziója évek óta a csoport legsikeresebb egysége. Többszörös díjnyertes vállalatként, piacvezető pozícióból kínálnak stabilitást és folyamatos fejlődési lehetőséget az ország egész területén. Dinamikusan bővülő csapatukba most Pest megyei lokációval keresünk olyan ambiciózus kollégákat, akik szeretnének egy sik",,,,,https://www.randstad.hu/allasok/teruleti-kepviselo-hunter-sales-pest-megye_budapest_37943/,True,
randstad,38199,Procurement and Governance Specialist,Randstad Hungary,Budapest,Budapest,HU,,900000,,MONTH,HUF,FULL_TIME,2026-05-27,,logisztika-beszerzes,logisztika-beszerzes,"Cégleírás / Organisation/DepartmentOur automotive partner is looking for their future colleague for the Procurement and Governance Specialist position.Pozíció leírása / Job descriptionProcurement and Supplier ManagementEnsure all purchasing activities and supplier-related processes fully comply with internal governance, global and local policies, and audit requirements.Maintain and continuously improve process documentation and work instructions to guarant",,,,,https://www.randstad.hu/allasok/procurement-and-governance-specialist_budapest_38199/,True,
